tbodyaccmeanx,tbodyaccmeany,tbodyaccmeanz,tgravityaccmeanx,tgravityaccmeany,tgravityaccmeanz,tbodyaccjerkmeanx,tbodyaccjerkmeany,tbodyaccjerkmeanz,tbodygyromeanx,tbodygyromeany,tbodygyromeanz,tbodygyrojerkmeanx,tbodygyrojerkmeany,tbodygyrojerkmeanz,tbodyaccmagmean,tgravityaccmagmean,tbodyaccjerkmagmean,tbodygyromagmean,tbodygyrojerkmagmean
-0.4545121,5.1649113,8.4671,-0.3945639,5.11775,8.331027,-0.014726201,-0.008461029,-0.0020964204,0.0024891358,0.05096875,0.19599634,-0.0024885256,0.0010227051,0.0023862305,9.928478,9.785349,0.017112713,0.20253043,0.0035962176
1.2830751,6.2703857,7.6108994,1.3833529,6.1266747,7.489479,-0.0010913898,-0.0062764306,0.011815732,0.075281695,-0.017338045,0.015182371,0.0033417977,-0.0013143477,-0.0024054742,9.944336,9.774564,0.013423719,0.0787302,0.004322202
1.2830751,6.2703857,7.6108994,1.3833529,6.1266747,7.489479,-0.0010913898,-0.0062764306,0.011815732,0.075281695,-0.017338045,0.015182371,0.0033417977,-0.0013143477,-0.0024054742,9.944336,9.774564,0.013423719,0.0787302,0.004322202
-0.4545121,5.1649113,8.4671,-0.3945639,5.11775,8.331027,-0.014726201,-0.008461029,-0.0020964204,0.0024891358,0.05096875,0.19599634,-0.0024885256,0.0010227051,0.0023862305,9.928478,9.785349,0.017112713,0.20253043,0.0035962176
1.2830751,6.2703857,7.6108994,1.3833529,6.1266747,7.489479,-0.0010913898,-0.0062764306,0.011815732,0.075281695,-0.017338045,0.015182371,0.0033417977,-0.0013143477,-0.0024054742,9.944336,9.774564,0.013423719,0.0787302,0.004322202
-0.4545121,5.1649113,8.4671,-0.3945639,5.11775,8.331027,-0.014726201,-0.008461029,-0.0020964204,0.0024891358,0.05096875,0.19599634,-0.0024885256,0.0010227051,0.0023862305,9.928478,9.785349,0.017112713,0.20253043,0.0035962176
1.2830751,6.2703857,7.6108994,1.3833529,6.1266747,7.489479,-0.0010913898,-0.0062764306,0.011815732,0.075281695,-0.017338045,0.015182371,0.0033417977,-0.0013143477,-0.0024054742,9.944336,9.774564,0.013423719,0.0787302,0.004322202
-0.4545121,5.1649113,8.4671,-0.3945639,5.11775,8.331027,-0.014726201,-0.008461029,-0.0020964204,0.0024891358,0.05096875,0.19599634,-0.0024885256,0.0010227051,0.0023862305,9.928478,9.785349,0.017112713,0.20253043,0.0035962176
1.2830751,6.2703857,7.6108994,1.3833529,6.1266747,7.489479,-0.0010913898,-0.0062764306,0.011815732,0.075281695,-0.017338045,0.015182371,0.0033417977,-0.0013143477,-0.0024054742,9.944336,9.774564,0.013423719,0.0787302,0.004322202
-0.4545121,5.1649113,8.4671,-0.3945639,5.11775,8.331027,-0.014726201,-0.008461029,-0.0020964204,0.0024891358,0.05096875,0.19599634,-0.0024885256,0.0010227051,0.0023862305,9.928478,9.785349,0.017112713,0.20253043,0.0035962176
1.2830751,6.2703857,7.6108994,1.3833529,6.1266747,7.489479,-0.0010913898,-0.0062764306,0.011815732,0.075281695,-0.017338045,0.015182371,0.0033417977,-0.0013143477,-0.0024054742,9.944336,9.774564,0.013423719,0.0787302,0.004322202
-0.4545121,5.1649113,8.4671,-0.3945639,5.11775,8.331027,-0.014726201,-0.008461029,-0.0020964204,0.0024891358,0.05096875,0.19599634,-0.0024885256,0.0010227051,0.0023862305,9.928478,9.785349,0.017112713,0.20253043,0.0035962176
1.2830751,6.2703857,7.6108994,1.3833529,6.1266747,7.489479,-0.0010913898,-0.0062764306,0.011815732,0.075281695,-0.017338045,0.015182371,0.0033417977,-0.0013143477,-0.0024054742,9.944336,9.774564,0.013423719,0.0787302,0.004322202
-0.4545121,5.1649113,8.4671,-0.3945639,5.11775,8.331027,-0.014726201,-0.008461029,-0.0020964204,0.0024891358,0.05096875,0.19599634,-0.0024885256,0.0010227051,0.0023862305,9.928478,9.785349,0.017112713,0.20253043,0.0035962176
