tbodyaccmeanx,tbodyaccmeany,tbodyaccmeanz,tgravityaccmeanx,tgravityaccmeany,tgravityaccmeanz,tbodyaccjerkmeanx,tbodyaccjerkmeany,tbodyaccjerkmeanz,tbodygyromeanx,tbodygyromeany,tbodygyromeanz,tbodygyrojerkmeanx,tbodygyrojerkmeany,tbodygyrojerkmeanz,tbodyaccmagmean,tgravityaccmagmean,tbodyaccjerkmagmean,tbodygyromagmean,tbodygyrojerkmagmean
7.56488,-2.6391885,-0.46963295,7.6255627,-2.602704,-0.081068255,0.043125454,0.09863921,0.0068049273,0.2809181,-0.58937585,0.012253688,-0.01374689,8.944841E-4,-0.003667618,8.025788,8.057905,0.107869394,0.6530153,0.0142558245
5.147538,-8.304869,0.38717318,5.1384797,-8.26096,0.5959756,-0.0058911936,-0.0057779383,-0.018356208,0.020024164,0.08104472,-0.070875034,7.012734E-4,-0.0013463479,2.1991141E-4,9.77844,9.746928,0.020125633,0.1095102,0.0015338833
6.31301,-7.555127,0.6395837,6.121064,-7.5894184,0.73348504,-0.0085626505,-0.0036487826,-0.0046761204,0.19237165,-0.36170977,-0.03999955,0.008309703,0.0033961171,0.0066225557,9.8662615,9.777765,0.01041627,0.41163185,0.011155404
7.56488,-2.6391885,-0.46963295,7.6255627,-2.602704,-0.081068255,0.043125454,0.09863921,0.0068049273,-0.14825846,-0.14453503,0.64822745,0.012765139,4.945256E-4,0.0038251737,8.025788,8.057905,0.107869394,0.6804923,0.013335115
7.1375318,-7.066666,0.04714326,6.886747,-6.8578935,0.17554563,2.1676093E-4,0.046156153,0.032593753,0.19237165,-0.36170977,-0.03999955,0.008309703,0.0033961171,0.0066225557,10.04412,9.720535,0.056504782,0.41163185,0.011155404
6.31301,-7.555127,0.6395837,6.121064,-7.5894184,0.73348504,-0.0085626505,-0.0036487826,-0.0046761204,0.020024164,0.08104472,-0.070875034,7.012734E-4,-0.0013463479,2.1991141E-4,9.8662615,9.777765,0.01041627,0.1095102,0.0015338833
5.147538,-8.304869,0.38717318,5.1384797,-8.26096,0.5959756,-0.0058911936,-0.0057779383,-0.018356208,-0.14825846,-0.14453503,0.64822745,0.012765139,4.945256E-4,0.0038251737,9.77844,9.746928,0.020125633,0.6804923,0.013335115
7.1375318,-7.066666,0.04714326,6.886747,-6.8578935,0.17554563,2.1676093E-4,0.046156153,0.032593753,-0.76781887,0.91224736,-0.13673687,-0.007361893,1.5272036E-4,3.4906564E-4,10.04412,9.720535,0.056504782,1.2001826,0.007371746
7.2993326,-6.81293,-0.40450084,7.1583,-6.503654,0.14073867,-0.033531494,-0.01904469,-0.034422636,-0.76781887,0.91224736,-0.13673687,-0.007361893,1.5272036E-4,3.4906564E-4,9.992992,9.672568,0.05169119,1.2001826,0.007371746
7.2993326,-6.81293,-0.40450084,7.1583,-6.503654,0.14073867,-0.033531494,-0.01904469,-0.034422636,0.4429487,-0.24960496,0.1308878,-5.221886E-4,-0.008931437,-0.0061850143,9.992992,9.672568,0.05169119,0.5250122,0.010876472
7.3567514,-6.6706357,0.08338247,7.00526,-6.655737,0.4078403,-0.0035817204,-0.065404534,-0.0037144816,0.4429487,-0.24960496,0.1308878,-5.221886E-4,-0.008931437,-0.0061850143,9.931068,9.671548,0.06560777,0.5250122,0.010876472
7.3567514,-6.6706357,0.08338247,7.00526,-6.655737,0.4078403,-0.0035817204,-0.065404534,-0.0037144816,0.29604056,-0.096707635,-0.093977824,-0.003161706,0.001360137,-0.0039777835,9.931068,9.671548,0.06560777,0.32530633,0.0052601444
8.053817,-5.772479,0.58925617,7.822028,-5.7817593,0.87384737,0.04240688,0.034463607,0.015359597,0.29604056,-0.096707635,-0.093977824,-0.003161706,0.001360137,-0.0039777835,9.926364,9.7660885,0.056762673,0.32530633,0.0052601444
8.053817,-5.772479,0.58925617,7.822028,-5.7817593,0.87384737,0.04240688,0.034463607,0.015359597,-0.11516989,-0.08780946,0.15309687,0.010474402,0.0080188215,0.006767999,9.926364,9.7660885,0.056762673,0.21074452,0.0148263415
7.549192,-6.49364,-0.25433096,7.4809813,-6.111875,0.009148511,-0.009043939,-0.00916191,-0.0045810477,-0.11516989,-0.08780946,0.15309687,0.010474402,0.0080188215,0.006767999,9.9610405,9.660237,0.013664532,0.21074452,0.0148263415
7.549192,-6.49364,-0.25433096,7.4809813,-6.111875,0.009148511,-0.009043939,-0.00916191,-0.0045810477,0.920281,-0.45819777,-0.1268254,-0.019254483,0.009040806,-0.0057567935,9.9610405,9.660237,0.013664532,1.0358316,0.022036606
7.6364274,-6.4045258,0.31406826,7.590114,-6.0297933,1.2362369,2.849871E-4,0.005213745,0.010253183,0.920281,-0.45819777,-0.1268254,-0.019254483,0.009040806,-0.0057567935,9.97154,9.772232,0.011506177,1.0358316,0.022036606
7.6364274,-6.4045258,0.31406826,7.590114,-6.0297933,1.2362369,2.849871E-4,0.005213745,0.010253183,0.30540594,-0.16717589,-0.06536742,0.015036499,-0.010661046,6.908657E-4,9.97154,9.772232,0.011506177,0.35425058,0.018445365
7.6614766,-6.2195544,0.15428354,7.909675,-5.6853,0.9067236,0.006363301,0.01697325,0.0017160344,0.30540594,-0.16717589,-0.06536742,0.015036499,-0.010661046,6.908657E-4,9.869391,9.783033,0.018207898,0.35425058,0.018445365
7.6614766,-6.2195544,0.15428354,7.909675,-5.6853,0.9067236,0.006363301,0.01697325,0.0017160344,-0.27721557,0.19824778,0.028116932,0.008021883,-0.0061355326,-0.0029468175,9.869391,9.783033,0.018207898,0.3419667,0.0105204135
7.968283,-5.7484303,0.018320503,7.7375445,-5.8541074,0.55210006,-0.011546001,-0.010153751,0.0045107636,-0.27721557,0.19824778,0.028116932,0.008021883,-0.0061355326,-0.0029468175,9.825392,9.718281,0.0160236,0.3419667,0.0105204135
7.968283,-5.7484303,0.018320503,7.7375445,-5.8541074,0.55210006,-0.011546001,-0.010153751,0.0045107636,-0.59688085,0.4231285,0.08147296,-0.018396258,0.007623692,0.002060456,9.825392,9.718281,0.0160236,0.7361674,0.020019703
5.366098,-8.132152,-1.4088653,5.579224,-7.9601955,-1.0688703,0.033420656,0.015616976,-0.0023740875,-0.59688085,0.4231285,0.08147296,-0.018396258,0.007623692,0.002060456,9.844378,9.779312,0.036965746,0.7361674,0.020019703
5.366098,-8.132152,-1.4088653,5.579224,-7.9601955,-1.0688703,0.033420656,0.015616976,-0.0023740875,-0.10279151,0.06280919,-0.08807701,0.018167133,-0.015374255,6.010902E-4,9.844378,9.779312,0.036965746,0.14922684,0.023807012
7.399358,-6.2163744,-0.380896,7.5943093,-5.9694085,-0.26322654,-3.3249118E-4,-0.008141467,0.009948023,-0.10279151,0.06280919,-0.08807701,0.018167133,-0.015374255,6.010902E-4,9.671551,9.66316,0.012859129,0.14922684,0.023807012
7.399358,-6.2163744,-0.380896,7.5943093,-5.9694085,-0.26322654,-3.3249118E-4,-0.008141467,0.009948023,-0.3204522,0.29673752,0.13121969,-0.012493655,0.013649914,4.0723977E-4,9.671551,9.66316,0.012859129,0.45602784,0.018508846
6.080816,-7.525818,-0.56987745,5.713239,-7.7858176,-0.35072342,-0.027932849,-0.004963811,-0.031376008,-0.3204522,0.29673752,0.13121969,-0.012493655,0.013649914,4.0723977E-4,9.692214,9.663491,0.04230056,0.45602784,0.018508846
6.080816,-7.525818,-0.56987745,5.713239,-7.7858176,-0.35072342,-0.027932849,-0.004963811,-0.031376008,0.7122078,-0.5295494,-0.22950695,-0.008266228,-0.009409771,0.009954663,9.692214,9.663491,0.04230056,0.9166984,0.01599905
8.020229,-5.961267,0.11556487,7.854788,-5.720632,0.5112444,-0.050952986,0.005269656,0.04164764,0.7122078,-0.5295494,-0.22950695,-0.008266228,-0.009409771,0.009954663,9.993705,9.730606,0.066018954,0.9166984,0.01599905
8.020229,-5.961267,0.11556487,7.854788,-5.720632,0.5112444,-0.050952986,0.005269656,0.04164764,0.8453843,-0.6062038,-0.13115427,0.022432325,-0.008125483,-0.008064878,9.993705,9.730606,0.066018954,1.0485033,0.025184818
7.95592,-5.7220287,-0.23788038,8.21673,-5.0282683,0.7621244,0.07735271,-0.012838379,-0.04497747,0.8453843,-0.6062038,-0.13115427,0.022432325,-0.008125483,-0.008064878,9.802799,9.66328,0.09039491,1.0485033,0.025184818
7.95592,-5.7220287,-0.23788038,8.21673,-5.0282683,0.7621244,0.07735271,-0.012838379,-0.04497747,-0.4046637,0.37175584,0.13937579,-0.0204295,0.011165538,-0.0053105787,9.802799,9.66328,0.09039491,0.5669045,0.023879614
7.989824,-5.4713635,0.6677309,8.129454,-5.055828,1.5113131,-0.03631311,0.005545078,0.015909607,-0.4046637,0.37175584,0.13937579,-0.0204295,0.011165538,-0.0053105787,9.706645,9.691929,0.040031303,0.5669045,0.023879614
7.989824,-5.4713635,0.6677309,8.129454,-5.055828,1.5113131,-0.03631311,0.005545078,0.015909607,-0.13679533,0.15758877,-0.20641714,-0.0047811186,0.013301943,0.011356318,9.706645,9.691929,0.040031303,0.2935221,0.018131927
8.477028,-5.440089,0.81384635,8.621034,-4.413888,-0.1257938,0.015018665,-0.056656137,0.028937416,-0.13679533,0.15758877,-0.20641714,-0.0047811186,0.013301943,0.011356318,10.105291,9.686095,0.06536706,0.2935221,0.018131927
8.477028,-5.440089,0.81384635,8.621034,-4.413888,-0.1257938,0.015018665,-0.056656137,0.028937416,1.3010728,-0.7336857,-0.072872326,-0.001696846,0.01981434,-0.016379429,10.105291,9.686095,0.06536706,1.4954584,0.025763793
8.19032,-6.498553,0.15825382,7.90609,-5.671721,0.124233924,-0.0038123669,0.061796125,-0.029968584,1.3010728,-0.7336857,-0.072872326,-0.001696846,0.01981434,-0.016379429,10.456461,9.730885,0.06878525,1.4954584,0.025763793
8.19032,-6.498553,0.15825382,7.90609,-5.671721,0.124233924,-0.0038123669,0.061796125,-0.029968584,0.19532906,-0.11492512,-0.09656521,0.024095247,-0.02402492,0.011034362,10.456461,9.730885,0.06878525,0.2463454,0.035770588
8.252356,-5.63112,0.23026192,8.176986,-5.34459,0.3357169,-0.050114408,-0.03048291,0.01257527,0.19532906,-0.11492512,-0.09656521,0.024095247,-0.02402492,0.011034362,9.993193,9.77448,0.059989993,0.2463454,0.035770588
8.252356,-5.63112,0.23026192,8.176986,-5.34459,0.3357169,-0.050114408,-0.03048291,0.01257527,0.26951042,-0.09538711,-0.0048699495,-0.012973603,-0.008721802,0.0010181053,9.993193,9.77448,0.059989993,0.28593406,0.015665911
8.292579,-5.28954,0.14393322,8.35273,-4.904398,0.4391945,0.009270777,0.008621981,-0.019434422,0.26951042,-0.09538711,-0.0048699495,-0.012973603,-0.008721802,0.0010181053,9.837012,9.696087,0.023194453,0.28593406,0.015665911
