tbodyaccmeanx,tbodyaccmeany,tbodyaccmeanz,tgravityaccmeanx,tgravityaccmeany,tgravityaccmeanz,tbodyaccjerkmeanx,tbodyaccjerkmeany,tbodyaccjerkmeanz,tbodygyromeanx,tbodygyromeany,tbodygyromeanz,tbodygyrojerkmeanx,tbodygyrojerkmeany,tbodygyrojerkmeanz,tbodyaccmagmean,tgravityaccmagmean,tbodyaccjerkmagmean,tbodygyromagmean,tbodygyrojerkmagmean
-2.9698117,-8.883118,-0.7939546,-2.6541853,-9.178572,-1.0892404,-0.017855164,-2.4639894E-4,0.08739537,-0.0016365967,-0.25644642,0.02542322,-0.005939942,-0.0032128908,0.00845398,9.399996,9.616513,0.089200996,0.25770873,0.010820136
-2.6316812,-9.008054,0.5640877,-3.0372937,-9.2452965,0.27803335,0.012698127,-0.02990644,-0.06333868,-0.19303492,-0.21232753,-0.015184327,-0.005343384,0.011538941,-0.004533814,9.401541,9.735397,0.07118586,0.28736043,0.013500163
-2.377295,-9.418247,-0.22053938,-2.6944225,-9.237507,-0.8237975,-0.011092322,0.0011318207,0.045458104,0.120182894,-0.03802613,-0.07315506,-6.615423E-4,-0.011563332,-9.706558E-4,9.716149,9.657644,0.046805553,0.1457449,0.0116228415
-2.5341055,-9.066425,-0.74253464,-2.6944225,-9.237507,-0.8237975,0.015279156,6.791687E-5,-0.050124448,0.120182894,-0.03802613,-0.07315506,-6.615423E-4,-0.011563332,-9.706558E-4,9.443151,9.657644,0.0524015,0.1457449,0.0116228415
-2.6316812,-9.008054,0.5640877,-3.0372937,-9.2452965,0.27803335,0.012698127,-0.02990644,-0.06333868,-0.19303492,-0.21232753,-0.015184327,-0.005343384,0.011538941,-0.004533814,9.401541,9.735397,0.07118586,0.28736043,0.013500163
-2.377295,-9.418247,-0.22053938,-2.905918,-9.237833,-0.42025712,-0.011092322,0.0011318207,0.045458104,-0.22487366,-0.29762524,-0.0795088,0.013933716,0.005641724,0.0014230958,9.716149,9.693221,0.046805553,0.3814061,0.015099758
-2.9698117,-8.883118,-0.7939546,-2.6541853,-9.178572,-1.0892404,-0.017855164,-2.4639894E-4,0.08739537,-0.0016365967,-0.25644642,0.02542322,-0.005939942,-0.0032128908,0.00845398,9.399996,9.616513,0.089200996,0.25770873,0.010820136
-2.5341055,-9.066425,-0.74253464,-2.6944225,-9.237507,-0.8237975,0.015279156,6.791687E-5,-0.050124448,0.120182894,-0.03802613,-0.07315506,-6.615423E-4,-0.011563332,-9.706558E-4,9.443151,9.657644,0.0524015,0.1457449,0.0116228415
-2.377295,-9.418247,-0.22053938,-2.905918,-9.237833,-0.42025712,-0.011092322,0.0011318207,0.045458104,-0.22487366,-0.29762524,-0.0795088,0.013933716,0.005641724,0.0014230958,9.716149,9.693221,0.046805553,0.3814061,0.015099758
-2.9698117,-8.883118,-0.7939546,-2.6541853,-9.178572,-1.0892404,-0.017855164,-2.4639894E-4,0.08739537,-0.0016365967,-0.25644642,0.02542322,-0.005939942,-0.0032128908,0.00845398,9.399996,9.616513,0.089200996,0.25770873,0.010820136
