tbodyaccmeanx,tbodyaccmeany,tbodyaccmeanz,tgravityaccmeanx,tgravityaccmeany,tgravityaccmeanz,tbodyaccjerkmeanx,tbodyaccjerkmeany,tbodyaccjerkmeanz,tbodygyromeanx,tbodygyromeany,tbodygyromeanz,tbodygyrojerkmeanx,tbodygyrojerkmeany,tbodygyrojerkmeanz,tbodyaccmagmean,tgravityaccmagmean,tbodyaccjerkmagmean,tbodygyromagmean,tbodygyrojerkmagmean
0.048804298,0.26873544,9.817631,0.046823237,0.2701038,9.802819,-1.8441706E-4,2.4920242E-4,-3.8474413E-6,8.971906E-5,1.0320966E-4,-7.007255E-5,9.168371E-6,0.0,0.0,9.821429,9.806652,3.100424E-4,1.5366166E-4,9.168371E-6
0.048804298,0.26873544,9.817631,0.046823237,0.2701038,9.802819,-1.8441706E-4,2.4920242E-4,-3.8474413E-6,8.971906E-5,1.0320966E-4,-7.007255E-5,9.168371E-6,0.0,0.0,9.821429,9.806652,3.100424E-4,1.5366166E-4,9.168371E-6
0.048804298,0.26873544,9.817631,0.046823237,0.2701038,9.802819,-1.8441706E-4,2.4920242E-4,-3.8474413E-6,8.971906E-5,1.0320966E-4,-7.007255E-5,9.168371E-6,0.0,0.0,9.821429,9.806652,3.100424E-4,1.5366166E-4,9.168371E-6
0.048804298,0.26873544,9.817631,0.046823237,0.2701038,9.802819,-1.8441706E-4,2.4920242E-4,-3.8474413E-6,8.971906E-5,1.0320966E-4,-7.007255E-5,9.168371E-6,0.0,0.0,9.821429,9.806652,3.100424E-4,1.5366166E-4,9.168371E-6
0.048804298,0.26873544,9.817631,0.046823237,0.2701038,9.802819,-1.8441706E-4,2.4920242E-4,-3.8474413E-6,8.971906E-5,1.0320966E-4,-7.007255E-5,9.168371E-6,0.0,0.0,9.821429,9.806652,3.100424E-4,1.5366166E-4,9.168371E-6
0.37341666,-9.718063,-1.003139,0.5918187,-8.067846,0.9201948,0.003480475,-0.022578124,0.03698431,-0.09568497,-0.09904633,-0.07440323,0.0135289,0.018854827,0.011216125,9.7768345,8.141692,0.04347096,0.15652996,0.025774738
0.2739035,-0.82644457,8.358972,0.048472103,0.2676743,9.802877,1.9927714E-4,-0.008538676,-0.016962802,0.05188449,0.053140618,-0.096464746,7.110447E-4,-0.0011407904,-1.0287558E-4,8.404192,9.806651,0.018991718,0.12174306,0.0013481731
0.048804298,0.26873544,9.817631,0.046823237,0.2701038,9.802819,-1.8441706E-4,2.4920242E-4,-3.8474413E-6,8.971906E-5,1.0320966E-4,-7.007255E-5,9.168371E-6,0.0,0.0,9.821429,9.806652,3.100424E-4,1.5366166E-4,9.168371E-6
0.37341666,-9.718063,-1.003139,0.5918187,-8.067846,0.9201948,0.003480475,-0.022578124,0.03698431,-0.09568497,-0.09904633,-0.07440323,0.0135289,0.018854827,0.011216125,9.7768345,8.141692,0.04347096,0.15652996,0.025774738
0.2739035,-0.82644457,8.358972,0.048472103,0.2676743,9.802877,1.9927714E-4,-0.008538676,-0.016962802,0.05188449,0.053140618,-0.096464746,7.110447E-4,-0.0011407904,-1.0287558E-4,8.404192,9.806651,0.018991718,0.12174306,0.0013481731
