tbodyaccmeanx,tbodyaccmeany,tbodyaccmeanz,tgravityaccmeanx,tgravityaccmeany,tgravityaccmeanz,tbodyaccjerkmeanx,tbodyaccjerkmeany,tbodyaccjerkmeanz,tbodygyromeanx,tbodygyromeany,tbodygyromeanz,tbodygyrojerkmeanx,tbodygyrojerkmeany,tbodygyrojerkmeanz,tbodyaccmagmean,tgravityaccmagmean,tbodyaccjerkmagmean,tbodygyromagmean,tbodygyrojerkmagmean
-1.2346195,6.4060946,6.912499,-1.2978598,6.598701,7.1185493,-0.0076720347,-0.0024800822,0.002929319,0.020563377,-0.0034664276,0.024807911,-0.0033767272,-0.0032312863,-5.478405E-4,9.504997,9.792908,0.008578568,0.03240835,0.0047057015
-1.4106109,6.360809,6.9616294,-1.4046755,6.490052,7.1526036,0.012057022,-0.0027805143,0.0023716518,0.051784273,0.022995407,-0.059024256,3.9095499E-4,-0.0010580188,5.400051E-4,9.534883,9.759797,0.012598721,0.08181847,0.0012505419
-0.85663,6.1365,7.267307,-0.8719819,6.2908273,7.47181,-0.0024199346,-1.8490998E-4,8.2117907E-4,0.0097592985,-0.0018204752,0.0047729914,2.1089418E-4,0.0016580627,-5.817767E-5,9.550089,9.806264,0.0025621494,0.011015421,0.0016724332
-1.3519926,6.364581,6.958396,-1.3952217,6.5671706,7.1265454,0.004350159,-4.302274E-4,-0.0011968613,0.0061862217,0.045315534,0.0046081548,0.0029016081,0.002964635,8.484213E-5,9.526545,9.7909155,0.0045322683,0.045967404,0.004149167
-1.2346195,6.4060946,6.912499,-1.2978598,6.598701,7.1185493,-0.0076720347,-0.0024800822,0.002929319,0.020563377,-0.0034664276,0.024807911,-0.0033767272,-0.0032312863,-5.478405E-4,9.504997,9.792908,0.008578568,0.03240835,0.0047057015
-1.4106109,6.360809,6.9616294,-1.4046755,6.490052,7.1526036,0.012057022,-0.0027805143,0.0023716518,0.051784273,0.022995407,-0.059024256,3.9095499E-4,-0.0010580188,5.400051E-4,9.534883,9.759797,0.012598721,0.08181847,0.0012505419
-1.3519926,6.364581,6.958396,-1.3952217,6.5671706,7.1265454,0.004350159,-4.302274E-4,-0.0011968613,0.0061862217,0.045315534,0.0046081548,0.0029016081,0.002964635,8.484213E-5,9.526545,9.7909155,0.0045322683,0.045967404,0.004149167
-1.4944434,7.7202797,5.314583,-1.5930278,7.9004617,5.4518337,-0.014982169,-0.003496404,-6.1823236E-4,0.0063244044,-0.05575842,0.01811991,0.0052699232,0.00981748,-0.0011126475,9.491095,9.730237,0.015397157,0.058968898,0.011197901
-1.4944434,7.7202797,5.314583,-1.5930278,7.9004617,5.4518337,-0.014982169,-0.003496404,-6.1823236E-4,0.0063244044,-0.05575842,0.01811991,0.0052699232,0.00981748,-0.0011126475,9.491095,9.730237,0.015397157,0.058968898,0.011197901
7.9193554,0.7986501,3.5808077,7.684631,1.233959,3.9906607,-0.06709086,0.011130035,0.054020066,-0.25061357,-0.39263245,0.09101402,-0.005292534,-0.011718835,0.014470178,8.727899,8.746518,0.08685176,0.4746061,0.019357894
