tbodyaccmeanx,tbodyaccmeany,tbodyaccmeanz,tgravityaccmeanx,tgravityaccmeany,tgravityaccmeanz,tbodyaccjerkmeanx,tbodyaccjerkmeany,tbodyaccjerkmeanz,tbodygyromeanx,tbodygyromeany,tbodygyromeanz,tbodygyrojerkmeanx,tbodygyrojerkmeany,tbodygyrojerkmeanz,tbodyaccmagmean,tgravityaccmagmean,tbodyaccjerkmagmean,tbodygyromagmean,tbodygyrojerkmagmean
5.619519,-8.190342,0.022903418,4.537361,-8.594675,0.17303962,0.010441523,3.8065953E-4,0.06761156,0.24541995,-0.31943896,-0.151354,-0.023726784,-0.0074903723,-0.017690852,9.932836,9.720392,0.06841413,0.43032572,0.030529203
6.4337873,-7.370025,-0.14348957,5.8291965,-7.845528,0.5318226,-0.03613619,-0.026201563,-0.030746408,0.24105182,-0.1875235,0.073037185,0.008525448,-0.0054783975,0.0014859536,9.784246,9.788497,0.05420044,0.3140151,0.010242273
5.781986,-4.218784,5.2167177,5.934353,-4.567775,4.6236835,0.013629399,0.06641631,0.018211178,0.3595552,-0.6225524,0.80596095,0.010721906,0.0072326357,0.019168934,8.856842,8.801111,0.07020352,1.0800114,0.023123978
6.4337873,-7.370025,-0.14348957,5.8291965,-7.845528,0.5318226,-0.03613619,-0.026201563,-0.030746408,0.24541995,-0.31943896,-0.151354,-0.023726784,-0.0074903723,-0.017690852,9.784246,9.788497,0.05420044,0.43032572,0.030529203
6.227765,-7.5907083,0.4823023,6.180401,-7.567609,0.73903394,0.005161043,0.005064956,-3.2721958E-4,0.24105182,-0.1875235,0.073037185,0.008525448,-0.0054783975,0.0014859536,9.830388,9.798583,0.007238592,0.3140151,0.010242273
5.619519,-8.190342,0.022903418,4.537361,-8.594675,0.17303962,0.010441523,3.8065953E-4,0.06761156,0.3595552,-0.6225524,0.80596095,0.010721906,0.0072326357,0.019168934,9.932836,9.720392,0.06841413,1.0800114,0.023123978
6.227765,-7.5907083,0.4823023,6.180401,-7.567609,0.73903394,0.005161043,0.005064956,-3.2721958E-4,0.05231451,-0.036451552,0.017607579,0.0025167647,-4.056144E-4,-4.1538748E-5,9.830388,9.798583,0.007238592,0.066147946,0.002549579
6.4795213,-7.4062896,0.26466274,6.5245852,-7.3073044,0.334915,-0.0044504916,-0.0034367784,0.002966599,0.05231451,-0.036451552,0.017607579,0.0025167647,-4.056144E-4,-4.1538748E-5,9.844154,9.801993,0.0063575963,0.066147946,0.002549579
6.4795213,-7.4062896,0.26466274,6.5245852,-7.3073044,0.334915,-0.0044504916,-0.0034367784,0.002966599,-0.019586476,0.03971352,-0.006096532,-0.0026131477,7.684301E-4,-2.011976E-4,9.844154,9.801993,0.0063575963,0.044698562,0.0027312096
6.641973,-7.2560697,0.30141774,6.7102294,-7.126915,0.4695993,-0.004017046,-6.6835573E-4,-6.470261E-5,-0.019586476,0.03971352,-0.006096532,-0.0026131477,7.684301E-4,-2.011976E-4,9.841606,9.800032,0.004072781,0.044698562,0.0027312096
